2017-10-26 16:02:41.318 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:03:03.704 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:03:47.212 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:04:03.825 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:04:39.785 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:04:39.941 WARN  NServiceBus.Features.MsmqSubscriptionPersistence Could not find configuration section for Msmq Subscription Storage and no name was specified for this endpoint. Going to default the subscription queue
2017-10-26 16:04:40.027 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '13/10/2017'

2017-10-26 16:05:12.787 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:05:18.063 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:05:26.779 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:05:26.890 WARN  NServiceBus.Features.MsmqSubscriptionPersistence Could not find configuration section for Msmq Subscription Storage and no name was specified for this endpoint. Going to default the subscription queue
2017-10-26 16:05:26.945 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '13/10/2017'

2017-10-26 16:14:53.585 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:15:13.945 INFO  DefaultFactory Logging to 'C:\git\CommandQueueTest\Publisher\src\Publisher\bin\Debug\' with level Info
2017-10-26 16:15:14.066 WARN  NServiceBus.Features.MsmqSubscriptionPersistence Could not find configuration section for Msmq Subscription Storage and no name was specified for this endpoint. Going to default the subscription queue
2017-10-26 16:15:14.118 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '13/10/2017'

2017-10-26 16:15:14.757 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'ESENDEX\scott.lyons' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "ESENDEX\scott.lyons" /add
2017-10-26 16:15:14.833 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:15:14.841 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:15:14.847 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:15:14.854 WARN  NServiceBus.QueuePermissions Queue [private$\NServiceBus.Subscriptions] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-26 16:15:14.861 WARN  NServiceBus.QueuePermissions Queue [private$\PublisherExample.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
